Name,Picture,PictureBig
Lipgloss Jucy Tubes Smoothy Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10029-101_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Lipgloss Jucy Tubes Smoothy Pink,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10029-102_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipgloss Jucy Tubes Pink,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10029-202_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Lipgloss Jucy Tubes Smoothy Red,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10029-103_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crystal Caramel,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-1.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crystal Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-2.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crystal Peach,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-3.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Glossy Lipstick Crystal Mauve,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-4_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crystal Plum,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-5.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crystal Berry,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10031-6.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Warm Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-1.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Magic Mauve,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-2.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Juicy Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-3.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Orange Toffee,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-4.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Midnight Plum,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-5.gif,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
Crayon à lèvres Hot Chilli,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-7_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LR Colours Lipliner Brownrose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10032-8_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LR Colours-Lipstick Care Balm,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10430_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LR Colours Lipstick Warm Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-1_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC  Lipstick Magic Mauve,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-2_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipstick Juicy Rose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-3_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipstick Orange Toffee,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-4_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipstick Midnight Plum,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-5_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipstick Hot Chili,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-7_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
LRC Lipstick Brownrose,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_files/10431-8_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/urs_lens.jpg
